@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
92,9,8,7,1,0,?
31,1,2,2,1,0,?
79,9,16,1,1,9,?
124,8,10,38,1,4,?
102,17,3,27,1,5,?
93,9,3,30,1,0,?
1101,50,80,147,1,18,?
20,4,2,3,1,1,?
480,54,17,178,1,0,?
229,28,8,105,1,9,?
